effect_estimate,carbon_price_scenario,increment_pct_dm_fat,pct_ch4_reduction,abatement_ton_co2e_cow_yr,ingredient_cost_delta_usd_yr,milk_fat_revenue_loss_usd_yr,gross_cost_usd_yr,carbon_revenue_usd_yr,net_cost_usd_yr,net_dollar_per_ton_co2e
primary (3.77%/pt),low,2.66977682172973,10.065058617921084,0.34201889047372414,40.263208098828954,111.02097252,151.28418061882894,2.168399765603411,149.11578085322554,435.98697325369363
primary (3.77%/pt),mid,2.66977682172973,10.065058617921084,0.34201889047372414,40.263208098828954,111.02097252,151.28418061882894,10.260566714211723,141.0236139046172,412.3269732536936
primary (3.77%/pt),high,2.66977682172973,10.065058617921084,0.34201889047372414,40.263208098828954,111.02097252,151.28418061882894,17.955991749870517,133.32818886895842,389.8269732536936
upper bound (19.5%/pt),low,2.66977682172973,52.06064802372974,1.769063226588228,40.263208098828954,111.02097252,151.28418061882894,11.215860856569366,140.06831976225956,79.17654816238077
upper bound (19.5%/pt),mid,2.66977682172973,52.06064802372974,1.769063226588228,40.263208098828954,111.02097252,151.28418061882894,53.07189679764684,98.2122838211821,55.51654816238078
upper bound (19.5%/pt),high,2.66977682172973,52.06064802372974,1.769063226588228,40.263208098828954,111.02097252,151.28418061882894,92.87581939588198,58.408361222946965,33.01654816238077
