ndf_from_pct,ndf_to_pct,incremental_abatement_ton_co2e_cow_yr,incremental_feed_cost_usd_cow_yr,marginal_dollar_per_ton_co2e
37.2,37.0,0.004318609160565073,-7.222390450373641,-1702.3880726054454
37.0,36.0,0.021593045825265497,-35.36723814367977,-1667.8994621637596
36.0,35.0,0.02159304582315357,-34.172183355689164,-1612.5550334843156
35.0,34.1,0.019433741255744055,-14.877861490846755,-795.5685693792637
34.1,34.0,0.002159304567628424,-1.2179305372911609,-594.0383276865942
34.0,33.67,0.00713052422287875,-4.006683477203987,-591.905878441347
